imo,name,p_mcr_kw,fuel_t_yr,co2_t_yr
9208083,Mega 3,40000.0,9020.576300578035,28090.074600000004
9066784,Mutiara Ferindo VII,25187.632644297813,6109.96388146132,19026.42752687055
9035125,Dharma Kencana VII,19868.800000000003,5064.819646381504,15771.848378832003
9035113,Dharma Ferry VII,19864.0,5063.876452138729,15768.911271960002
9162124,Dharma Kencana V,19092.8,4912.336577132948,15297.016101191999
9145865,Dharma Ferry V,19089.600000000002,4911.707780971099,15295.058029944003
9107473,Mahardika Kirana,17124.6325455309,4601.510128536216,14329.102540261778
9154074,Mutiara Ferindo 1,17085.45600095524,4517.8958889731375,14068.727798262351
9000900,Kmp Mutiara Barat,16724.79621170366,4447.0266729684745,13848.041059623829
9220366,Shiloh Sejati,15731.2,4353.448413465896,13556.6383595328
9162162,Dharma Kartika II,14792.0,4067.2345356069372,12665.368343880002
8604333,Port Link III,14436.800000000001,3997.438161641619,12448.022435352
9004592,Mutiara Persada III,14242.330899147331,3959.2252165745804,12329.027324413242
9333735,Dharma Rucitra VIII,12401.6,3368.382504062427,10489.143117650397
8921755,Virgo 18,11056.280595350794,3333.1701532972775,10379.491857367722
9140023,Dharma Kartika IX,10881.6,3298.84562582659,10272.605278824001
9114567,Athaya,10028.376923429872,3131.1883146550595,9750.520411835854
9031521,Amadea,9930.250921172441,3111.906672905956,9690.477379429147
8921767,Dharma Rucitra I,9901.781202347393,3106.3124073040403,9673.056836344782
8908789,Niki Sejahtera,8967.574396648173,2790.6760526072485,8946.907424658839
8705747,Sms Sagita,8596.800000000001,2849.8851662658963,8874.542407752
7910917,Port Link,8286.741706951432,2788.95908357258,8684.818586245014
8220060,Kirana IX,8169.820832131515,2765.9842719079315,8613.275022721298
7909061,Duta Banten,7865.261545114083,2706.1387373041043,8426.91602796498
8602074,Amarisa,7140.075080119621,2563.640466737268,7983.176413419852
8324074,Jagantara,7137.697234756998,2563.1732229755526,7981.72141634587
9045883,Niki Mila Utama,7864.0,2560.5896604739883,7973.676202715999
8822222,Rajarakata,6934.053752055627,2523.1575228791994,7857.112526245826
8716162,Serasi III,5134.600279778729,2467.0200327434873,7682.3003819632195
7118789,Mitra Nusantara,6277.504161604327,2394.146315835519,7455.371627511807
7320186,Kirana II,5879.899106671332,2316.017399437422,7212.078181848131
8822117,Mm Sejati,8394.541619098763,2311.754528895364,7198.803602980163
9016715,Trimas Kanaya,5587.297906078343,2258.5216144732062,7033.036307469564
8920165,Hai Da,6082.380286910676,2243.422070948767,6986.016328934461
7124116,Kumala,5401.012338123453,2221.9167238050727,6919.048677928997
9032006,Seira,5156.888784274781,2173.9467382809617,6769.670143006914
9066722,Suki 2,5129.443093302273,2168.5536929238283,6752.876199764801
9197612,Simfoni Sejati,3276.1554739662856,2136.175882897887,6652.051699344019
9032719,Egon,4897.981623422385,2123.0717917124016,6611.245559392418
8813556,Thalia,4705.822507492981,2085.3127559121376,6493.663921910396
9100358,Harmoni Mas 8,2978.4228598549125,2083.17291327032,6487.000451923776
9042881,Queen Soya,4617.483010006472,2067.954150612373,6439.609225006929
9039573,Serasi V,6783.079000381041,2024.8786537387919,6305.472127742598
9157571,Sewindu,4052.8,1956.9946164393066,6094.081235592001
8510350,Windu Karsa Pratama,4049.248479860132,1956.2967469915936,6091.908070131823
9713789,Adinda Windu Karsa,3901.9693121958394,1927.3565671954286,6001.788350246565
9083627,Dharma Rucitra VII,6204.824860575978,1921.9366676867119,5984.91078317642
9311232,Roro Sawitri,4245.282340627887,1916.3781327483405,5967.601505378332
9105176,Mutiara Persada II,3760.902522393598,1899.6371121978948,5915.469967384244
9875812,Wira Berlian,3745.3919623262564,1896.5893057483686,5905.97909810042
8414350,Kirana I,3721.6000000000004,1891.9142136878613,5891.420861424
8210015,Jambo XII,3684.9708291583247,1884.7166255513039,5869.00757196676
7603344,Marisa Nusantara,3544.9987052171855,1857.2122710825106,5783.359012150938
8614261,Salvia,3434.611279237677,1835.5212742786402,5715.8132481036855
9895056,Dln Batu Layar,3340.285805163186,1816.9864317590486,5658.095748497677
9979400,Dln Mandalika,3152.75,1780.1358709790466,5543.3431022287505
9044516,Dharma Rucitra 9,3469.8428394148195,1778.3328048843364,5537.728354409824
7323308,Bsp I,4651.4509590895395,1770.5779448132678,5513.579720148516
9979541,Dln Nusantara,3071.0371969792395,1764.0794031935977,5493.343261544863
9079767,Sakura Express,2951.1107244093528,1740.5139951760602,5419.9605809782515
9835991,Munic 9,2886.053375378916,1727.730304122793,5380.152167038377
9836012,Neomi,2886.053375378916,1727.730304122793,5380.152167038377
9819272,Als Elisa,2856.5556431029486,1721.9340351107933,5362.10258533501
9807217,Als Elvina,2856.5556431029486,1721.9340351107933,5362.10258533501
9821263,Reinna,2856.5556431029486,1721.9340351107933,5362.10258533501
9821251,Dorothy,2856.5556431029486,1721.9340351107933,5362.10258533501
9821249,Trimas Fhadila,2856.5556431029486,1721.9340351107933,5362.10258533501
9821275,Wira Artha,2856.5556431029486,1721.9340351107933,5362.10258533501
9869502,Dln Oasis,2777.7142577381924,1706.4417974507082,5313.859757261505
9807205,Royce I,2580.3161325791784,1667.653302620609,5193.0723843605765
1034060,Calisha,2500.0,1651.8712789017343,5143.9271625
9037965,Harmoni Mas 3,4650.754413664499,1645.2778644763407,5123.395269979324
7374539,Kirana III,2462.261390110421,1644.4556873229494,5120.835010323664
8342519,Tranship 1,2642.4239805602388,1631.0340053354905,5079.039892614717
8017671,Kirana,2362.0453185535243,1624.763349463377,5059.513070228955
9857652,Zoey,2354.4531456584205,1623.271496595708,5054.867440399034
9836000,Caitlyn 7,2152.617492528732,1583.61103284184,4931.36475626949
9821287,Rishel,2152.617492528732,1583.61103284184,4931.36475626949
9759733,Batu Mandi,2103.129914708725,1573.8867831566963,4901.083442749952
9921051,Wira Nauli,2121.7806813760812,1507.4892234143163,4833.010450266298
9854686,Jws,1956.4306596760903,1545.0605554970925,4811.318569817946
