imo,name,gt,age,p_mcr_kw,power_method,fuel,in_inventory
9921520,Aceh Hebat 2,1186.0,6.0,853.1457585190009,gt_regression,distillate,True
9926817,Aceh Hebat 3,1089.0,6.0,812.1500592048915,gt_regression,distillate,True
8626628,Adhi Swadarma Iii,511.0,41.0,300.1272949499329,dimensions,distillate,True
9713789,Adinda Windu Karsa,9269.0,11.0,3901.9693121958394,dimensions,residual,True
9772424,Agung Samudra Xviii,2319.0,12.0,1121.9773415369991,dimensions,residual,True
9819272,Als Elisa,7331.0,9.0,2856.5556431029486,dimensions,residual,True
9807217,Als Elvina,7331.0,9.0,2856.5556431029486,dimensions,residual,True
9031521,Amadea,6687.0,35.0,9930.250921172441,dimensions,residual,True
8602074,Amarisa,10624.0,40.0,7140.075080119621,dimensions,residual,True
9049413,Ambu Ambu,574.0,21.0,549.4337532403478,dimensions,distillate,True
8662268,Arar,617.0,15.0,585.1015708140131,gt_regression,distillate,True
8824799,Ariwangan,157.0,40.0,251.20000000000002,gt_regression,distillate,True
9114567,Athaya,13413.0,31.0,10028.376923429872,dimensions,residual,True
8742862,Awu Awu,682.0,17.0,649.2565630751859,dimensions,distillate,True
9664201,Badaleon,616.0,15.0,549.4337532403478,dimensions,distillate,True
5286893,Bahari Nusantara,846.0,67.0,214.15701702067884,dimensions,distillate,True
9891165,Bahtera Nusantara 01,1585.0,6.0,1008.5811598269981,gt_regression,distillate,True
9879985,Bahtera Nusantara 02,1851.0,7.0,1103.0542710261282,gt_regression,distillate,True
9613719,Bahteramas,628.0,16.0,547.72875927531,dimensions,distillate,True
9972062,Bakkat Menuang,1875.0,4.0,1111.2861263167051,gt_regression,residual,True
9812391,Bamega Jaya,380.0,10.0,492.52175999328927,dimensions,distillate,True
8994544,Barau,542.0,32.0,237.71824627475402,dimensions,distillate,True
8872679,Baronang,526.0,34.0,237.5783811545955,dimensions,distillate,True
9759733,Batu Mandi,5381.0,11.0,2103.129914708725,dimensions,residual,True
8731148,Bawal,560.0,18.0,358.2481222827671,dimensions,distillate,True
9068213,Belanak,1163.0,23.0,502.81202185952964,dimensions,distillate,True
8991152,Belida,844.0,23.0,275.64960139986846,gt_regression,distillate,True
8994726,Benua Raya,237.0,26.0,336.8282203735821,gt_regression,distillate,True
9612301,Berkat Porosida,355.0,16.0,439.5559111059582,dimensions,distillate,True
8708751,Bintang Balikpapan,627.0,39.0,695.1186179180702,dimensions,distillate,True
8748103,Bnr,1685.0,16.0,1044.8304517057616,gt_regression,distillate,True
